name,abbrv,color,affiliation,coauthored
Ion Stoica,I. Stoica,#00bfff,University of California - Berkeley,1
Anshul Gandhi,A. Gandhi,#00bfff,Stony Brook University,1
Krzysztof Apt,K. Apt,#32CD32,none,1
Vincent Conitzer,V. Conitzer,#32CD32,Duke University,1
Evangelos Markakis,E. Markakis,#32CD32,AUEB,1
Mingyu Guo,M. Guo,#32CD32,University of Adelaide,1
Sunil Simon,S. Simon,#32CD32,IIT Kanpur,1
Dominik Wojtczak,D. Wojtczak,#32CD32,University of Liverpool,1
Eryk Kopczynski,E. Kopczynski,#ffff00,University of Warsaw,1
Bruce Maggs,B. Maggs,#00bfff,none,1
Anastasia Ailamaki,A. Ailamaki,#00bfff,EPFL,1
Todd Mowry,T. Mowry,#00bfff,none,1
Zhuoqing Mao,Z. Mao,#00bfff,none,1
Y. Hu,Y. Hu,#00bfff,none,1
